src_ip,dst_ip,length,protocol,src_port,dst_port,flags,timestamp
192.168.31.136,34.160.144.191,183,6,55264,443,PA,2025-05-17 13:30:04
192.168.31.136,34.149.100.209,183,6,34432,443,PA,2025-05-17 13:30:05
192.168.31.136,34.149.100.209,96,6,34432,443,PA,2025-05-17 13:30:05
34.149.100.209,192.168.31.136,60,6,443,34432,A,2025-05-17 13:30:05
192.168.31.136,34.160.144.191,183,6,55264,443,PA,2025-05-17 13:30:05
34.149.100.209,192.168.31.136,60,6,443,34432,A,2025-05-17 13:30:05
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:05
34.149.100.209,192.168.31.136,207,6,443,34432,PA,2025-05-17 13:30:05
34.149.100.209,192.168.31.136,1466,6,443,34432,PA,2025-05-17 13:30:05
192.168.31.136,34.149.100.209,54,6,34432,443,A,2025-05-17 13:30:05
34.149.100.209,192.168.31.136,608,6,443,34432,PA,2025-05-17 13:30:05
192.168.31.136,34.149.100.209,100,6,34432,443,PA,2025-05-17 13:30:06
34.149.100.209,192.168.31.136,60,6,443,34432,A,2025-05-17 13:30:06
34.160.144.191,192.168.31.136,139,6,443,55264,PA,2025-05-17 13:30:06
192.168.31.136,34.160.144.191,100,6,55264,443,PA,2025-05-17 13:30:06
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:06
192.168.31.136,34.160.144.191,183,6,55264,443,PA,2025-05-17 13:30:06
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:06
34.160.144.191,192.168.31.136,139,6,443,55264,PA,2025-05-17 13:30:07
192.168.31.136,34.160.144.191,100,6,55264,443,PA,2025-05-17 13:30:07
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:07
192.168.31.136,34.160.144.191,183,6,55264,443,PA,2025-05-17 13:30:07
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:07
34.160.144.191,192.168.31.136,143,6,443,55264,PA,2025-05-17 13:30:07
192.168.31.136,34.160.144.191,100,6,55264,443,PA,2025-05-17 13:30:07
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:08
192.168.31.136,34.160.144.191,183,6,55264,443,PA,2025-05-17 13:30:08
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:08
34.160.144.191,192.168.31.136,139,6,443,55264,PA,2025-05-17 13:30:08
192.168.31.136,34.160.144.191,100,6,55264,443,PA,2025-05-17 13:30:08
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:08
192.168.31.136,34.149.100.209,218,6,34432,443,PA,2025-05-17 13:30:08
34.149.100.209,192.168.31.136,60,6,443,34432,A,2025-05-17 13:30:08
34.149.100.209,192.168.31.136,143,6,443,34432,PA,2025-05-17 13:30:08
192.168.31.136,34.160.144.191,183,6,55264,443,PA,2025-05-17 13:30:08
34.149.100.209,192.168.31.136,60,6,443,34432,A,2025-05-17 13:30:08
192.168.31.136,34.149.100.209,100,6,34432,443,PA,2025-05-17 13:30:09
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:09
34.160.144.191,192.168.31.136,139,6,443,55264,PA,2025-05-17 13:30:09
192.168.31.136,34.160.144.191,100,6,55264,443,PA,2025-05-17 13:30:09
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:09
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:09
192.168.31.136,34.160.144.191,183,6,55264,443,PA,2025-05-17 13:30:09
34.160.144.191,192.168.31.136,139,6,443,55264,PA,2025-05-17 13:30:10
192.168.31.136,34.160.144.191,100,6,55264,443,PA,2025-05-17 13:30:10
34.160.144.191,192.168.31.136,139,6,443,55264,PA,2025-05-17 13:30:10
192.168.31.136,34.160.144.191,100,6,55264,443,PA,2025-05-17 13:30:10
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:10
34.160.144.191,192.168.31.136,60,6,443,55264,A,2025-05-17 13:30:10
